"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP1wt_rep1"	"IGF2BP1wt_rep2"	"IGF2BP1R167C_rep1"	"IGF2BP1R167C_rep2"	"IGF2BP1R167H_rep1"	"IGF2BP1R167H_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr10"	121967730	121967738	"IGF2BP1R168C"	"-"	12.86	2.57	6.615	13.2575	4.18	4.67	"ENSG00000107672.15"	"NSMCE4A"	"protein_coding"	"CDS"
"chr10"	121974064	121974072	"IGF2BP1R168H"	"-"	11.00666667	2.596	5.52	10.76166667	6.272	6.012	"ENSG00000107672.15"	"NSMCE4A"	"protein_coding"	"CDS"
"chr10"	122417955	122417963	"IGF2BP1R168C"	"+"	1.6	15.6	7.22	6.355	5	6.7	"ENSG00000107679.14"	"PLEKHA1"	"protein_coding"	"CDS"
"chr10"	122431519	122431532	"IGF2BP1R168C,IGF2BP1wt"	"+"	19.998	13.612	6.633333333	18.47428571	4.135	6.01	"ENSG00000107679.14"	"PLEKHA1"	"protein_coding"	"3UTR"
"chr10"	123034432	123034440	"IGF2BP1R168C"	"+"	9.21	9.944	10.284	16.89	9.416	0.195	"ENSG00000196177.13"	"ACADSB"	"protein_coding"	"CDS"
"chr10"	123047224	123047232	"IGF2BP1R168H"	"+"	3.293333333	5.02	8.87	1.175	12	14.43166667	"ENSG00000196177.13"	"ACADSB"	"protein_coding"	"CDS"
"chr10"	123053152	123053160	"IGF2BP1R168C"	"+"	3.44	0	12.95	17.61333333	4	3.91	"ENSG00000196177.13"	"ACADSB"	"protein_coding"	"CDS"
"chr10"	123162652	123162660	"IGF2BP1wt"	"+"	16.104	28.368	27.264	20.58333333	10.816	8.01	"ENSG00000154473.18"	"BUB3"	"protein_coding"	"CDS"
"chr10"	123162793	123162801	"IGF2BP1wt"	"+"	6.513333333	7.96	0	2.993333333	4.18	3.065	"ENSG00000154473.18"	"BUB3"	"protein_coding"	"CDS"
"chr10"	123165308	123165316	"IGF2BP1wt"	"+"	20.08571429	13.60571429	3.72	13.97285714	1.924	0.3083333333	"ENSG00000154473.18"	"BUB3"	"protein_coding"	"3UTR"
"chr10"	124403014	124403022	"IGF2BP1R168H"	"-"	0.6933333333	1.41	2.985	1.63	9.453333333	5.88	"ENSG00000065154.12"	"OAT"	"protein_coding"	"CDS"
"chr10"	124943032	124943040	"IGF2BP1wt"	"+"	14.54	9.92	3.64	8.3525	9.93	7.88	"ENSG00000019995.6"	"ZRANB1"	"protein_coding"	"CDS"
"chr10"	124972080	124972088	"IGF2BP1wt"	"+"	9.52	9.555	2.04	1.09	3	2.14	"ENSG00000019995.6"	"ZRANB1"	"protein_coding"	"CDS"
"chr10"	125812273	125812281	"IGF2BP1R168H"	"-"	4.376	12.3	2.232	6.11	5.226666667	9.052	"ENSG00000188690.15"	"UROS"	"protein_coding"	"CDS"
"chr10"	125826646	125826654	"IGF2BP1R168C"	"+"	4.555	0.8933333333	6.684	5.146	5.376	0.02	"ENSG00000107949.17"	"BCCIP"	"protein_coding"	"CDS"
"chr10"	125827611	125827619	"IGF2BP1R168C"	"+"	4.275	14.91666667	4.67	6.3675	7.07	0.025	"ENSG00000107949.17"	"BCCIP"	"protein_coding"	"CDS"
"chr10"	126990512	126990520	"IGF2BP1wt"	"+"	14.26	4.04	6.36	9.715	7.43	4.9375	"ENSG00000150760.13"	"DOCK1"	"protein_coding"	"CDS"
"chr10"	126990534	126990542	"IGF2BP1R168H"	"+"	12.51714286	3.2	4.64	11.095	8.89	7.03	"ENSG00000150760.13"	"DOCK1"	"protein_coding"	"CDS"
"chr10"	128102964	128102972	"IGF2BP1wt"	"-"	6.008	5.63	0	0	0.12	0	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128103364	128103372	"IGF2BP1wt"	"-"	9.252	14.25714286	3.792	21.51857143	1.753333333	0	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128104352	128104360	"IGF2BP1R168H"	"-"	1.616	0	4.968571429	8.0775	5.8	4.812	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128104828	128104840	"IGF2BP1R168H,IGF2BP1wt"	"-"	15.74333333	12.415	0.885	4.49	7.971428571	9.323333333	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128106452	128106460	"IGF2BP1R168C"	"-"	11.19333333	2.792	9.34	9.772	3.786666667	5.01	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128106981	128106989	"IGF2BP1wt"	"-"	14.428	6.245	0.24	9.533333333	2.98	0	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128107246	128107254	"IGF2BP1R168C"	"-"	3.05	6.55	9.54	16.48	10.324	1.402	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128107853	128107863	"IGF2BP1R168C,IGF2BP1R168H"	"-"	26.9025	14.39714286	30.63	11.98166667	6.724	13.62	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128112008	128112016	"IGF2BP1R168C"	"-"	13.492	25.84	19.488	21.59285714	8.54	6.52	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128112421	128112429	"IGF2BP1wt"	"-"	7.884	4.396666667	2.566666667	9.473333333	3.06	2.442	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128113448	128113456	"IGF2BP1R168H"	"-"	2.76	7.426666667	8.64	3.08	5.36	8.805	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	128113526	128113534	"IGF2BP1wt"	"-"	9.605	3.515	1.66	5.0525	1.596	4.25	"ENSG00000148773.14"	"MKI67"	"protein_coding"	"CDS"
"chr10"	130145268	130145276	"IGF2BP1R168C,IGF2BP1R168H"	"+"	2.45	0	5.685	8.275	8.63	3.9425	"ENSG00000108010.12"	"GLRX3"	"protein_coding"	"CDS"
"chr10"	131955946	131955956	"IGF2BP1R168C,IGF2BP1wt"	"+"	15.88	7.396	3.87	13.6425	3.225	0.9733333333	"ENSG00000175470.20"	"PPP2R2D"	"protein_coding"	"CDS"
"chr10"	131967830	131967838	"IGF2BP1wt"	"-"	15.06666667	4	8.072	4.498	1.68	3.656666667	"ENSG00000176171.11"	"BNIP3"	"protein_coding"	"3UTR"
"chr10"	131970673	131970684	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	15.17333333	11.70545455	6.415555556	30.46777778	11.832	13.075	"ENSG00000176171.11"	"BNIP3"	"protein_coding"	"CDS"
"chr10"	131973084	131973092	"IGF2BP1R168C"	"-"	2.45	11.288	6.21	17.4	0	6.4475	"ENSG00000176171.11"	"BNIP3"	"protein_coding"	"CDS"
"chr10"	131973843	131973852	"IGF2BP1R168C,IGF2BP1R168H"	"-"	3.8	18.588	18.95666667	16.194	11.93	14.26833333	"ENSG00000176171.11"	"BNIP3"	"protein_coding"	"CDS"
"chr10"	133362802	133362814	"IGF2BP1R168C,IGF2BP1R168H"	"-"	3.935	9.456	7.25	5.698	5.288	5.716	"ENSG00000127884.5"	"ECHS1"	"protein_coding"	"3UTR"
"chr10"	133401988	133401996	"IGF2BP1R168C"	"+"	0.27	5.412	4.83	5.9	0.68	5.205	"ENSG00000148824.19"	"MTG1"	"protein_coding"	"intron"
"chr11"	214493	214501	"IGF2BP1R168H"	"+"	5.58	7.96	1.77	9.17	4.513333333	7.166666667	"ENSG00000177963.14"	"RIC8A"	"protein_coding"	"3UTR"
"chr11"	214812	214820	"IGF2BP1wt"	"+"	13.15	12.788	4.92	8.8325	5.726666667	2.87	"ENSG00000177963.14"	"RIC8A"	"protein_coding"	"3UTR"
"chr11"	244450	244458	"IGF2BP1R168H"	"+"	0	0.292	0.74	3.088333333	5.0725	2.458571429	"ENSG00000185627.18"	"PSMD13"	"protein_coding"	"CDS"
"chr11"	251564	251572	"IGF2BP1R168C"	"+"	6.08	15.27333333	8.24	14.748	7.333333333	1.885	"ENSG00000185627.18"	"PSMD13"	"protein_coding"	"CDS"
"chr11"	320786	320794	"IGF2BP1R168H"	"-"	6.966666667	12.115	2.43	18.99285714	12.144	8.5	"ENSG00000142089.17"	"IFITM3"	"protein_coding"	"CDS"
"chr11"	320802	320810	"IGF2BP1wt"	"-"	11.41	14.72571429	6.9	16.00166667	8.425	2.856666667	"ENSG00000142089.17"	"IFITM3"	"protein_coding"	"CDS"
"chr11"	724760	724771	"IGF2BP1R168C,IGF2BP1wt"	"+"	3.843333333	7.924444444	10.6525	21.9725	0	10.02875	"ENSG00000177106.16"	"EPS8L2"	"protein_coding"	"CDS"
"chr11"	726342	726350	"IGF2BP1R168C"	"+"	2.392	9.053333333	7.77	3.371666667	0.488	0	"ENSG00000177106.16"	"EPS8L2"	"protein_coding"	"CDS"
"chr11"	727573	727581	"IGF2BP1R168C"	"+"	0	0.61	4.524	6.772	2.18	0	"ENSG00000177106.16"	"EPS8L2"	"protein_coding"	"CDS"
"chr11"	758960	758968	"IGF2BP1wt"	"+"	12.048	13.28	1.095	6.885	0.3333333333	0	"ENSG00000177156.11"	"TALDO1"	"protein_coding"	"CDS"
"chr11"	763480	763488	"IGF2BP1R168C,IGF2BP1wt"	"+"	10.728	10.924	5.76	14.04333333	0.036	4.086666667	"ENSG00000177156.11"	"TALDO1"	"protein_coding"	"CDS"
"chr11"	821820	821832	"IGF2BP1R168C,IGF2BP1wt"	"+"	14.83	22.01428571	13.68857143	15.59166667	1.06	2.626666667	"ENSG00000177666.17"	"PNPLA2"	"protein_coding"	"CDS"
"chr11"	904817	904825	"IGF2BP1R168C"	"-"	0.135	10.195	5.184	15.2775	1.09	4.573333333	"ENSG00000177830.18"	"CHID1"	"protein_coding"	"5UTR"
"chr11"	1753256	1753264	"IGF2BP1wt"	"-"	11.56	7.2525	0.1166666667	6.742	2.737142857	0.8042857143	"ENSG00000117984.15"	"CTSD"	"protein_coding"	"3UTR"
"chr11"	1753828	1753836	"IGF2BP1wt"	"-"	8.043333333	4.86	2.58	0.04333333333	0	0	"ENSG00000117984.15"	"CTSD"	"protein_coding"	"CDS"
"chr11"	1754948	1754956	"IGF2BP1R168C"	"-"	15.31	12.085	21.18	10.008	0.144	0	"ENSG00000117984.15"	"CTSD"	"protein_coding"	"CDS"
"chr11"	1757336	1757344	"IGF2BP1wt"	"-"	16.34666667	13.71	8.304	12.4275	0.24	2.095	"ENSG00000117984.15"	"CTSD"	"protein_coding"	"CDS"
"chr11"	1759060	1759068	"IGF2BP1R168C"	"-"	7.82	6	9.76	13.53	0.09	0.0975	"ENSG00000117984.15"	"CTSD"	"protein_coding"	"CDS"
"chr11"	2129136	2129144	"IGF2BP1R168C"	"-"	12.08857143	3.37	4.97	7.482857143	0	0	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2129249	2129257	"IGF2BP1wt"	"-"	61.195	46.28500125	5.34000125	60.18375625	0	0	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2130644	2130654	"IGF2BP1R168C,IGF2BP1wt"	"-"	27.762	59.7999975	33.129999	71.335	26.52	7.086	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2131146	2131161	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	40.32	28.33	39.84	37.99076923	22.16571429	9.568461538	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2131386	2131394	"IGF2BP1R168H"	"-"	87.29750375	153.86	79.93714286	105.8825	44.5875	25.16375	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2131491	2131499	"IGF2BP1R168H,IGF2BP1wt"	"-"	146.6375038	201.8849987	76.48500375	187.2812488	31.37714286	30.2900025	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2131628	2131636	"IGF2BP1wt"	"-"	83.29250125	96.2949975	13.47	170.9112513	8.485	22.6512475	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2131714	2131722	"IGF2BP1wt"	"-"	121.6685757	116.3349975	0	252.0900075	0	0	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2131824	2131832	"IGF2BP1R168H"	"-"	20.14	32.8975	9.385	56.5625	20.455	13.86714286	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2132012	2132020	"IGF2BP1R168H"	"-"	33.0975	58.72857	22.992	61.47374875	33.93428571	23.644	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2132077	2132085	"IGF2BP1R168C"	"-"	167.6124962	216.559995	55.687495	200.2442857	16.657495	0	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2132316	2132331	"IGF2BP1R168H,IGF2BP1wt"	"-"	60.333998	103.9766653	61.74199867	135.7006653	23.69133333	16.29866867	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"3UTR"
"chr11"	2132573	2132581	"IGF2BP1R168H"	"-"	12.40666667	33.59333333	30.42	39.12833333	11.06666667	18.25	"ENSG00000129965.15"	"INS-IGF2"	"protein_coding"	"3UTR"
"chr11"	2132757	2132770	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	148.8849967	191.246665	88.08922846	183.0374975	42.7016675	30.68908909	"ENSG00000129965.15"	"INS-IGF2"	"protein_coding"	"3UTR"
"chr11"	2132909	2132917	"IGF2BP1R168C"	"-"	14.105	44.38	21.78	54.3825	0.12	0	"ENSG00000129965.15"	"INS-IGF2"	"protein_coding"	"3UTR"
"chr11"	2133194	2133204	"IGF2BP1R168C,IGF2BP1wt"	"-"	16.87111111	19.32888889	19.95	23.77	0	12.869	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"CDS"
"chr11"	2138489	2138497	"IGF2BP1wt"	"-"	60.06249875	71.035	0	93.51374625	0	0	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"5UTR"
"chr11"	2138631	2138639	"IGF2BP1wt"	"-"	127.71	72.95249875	40.19750125	191.4762462	0	0	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"5UTR"
"chr11"	2138792	2138800	"IGF2BP1R168C"	"-"	0.1625	27.28	29.6775	17.95375	0	0	"ENSG00000167244.21"	"IGF2"	"protein_coding"	"5UTR"
"chr11"	2648334	2648342	"IGF2BP1R168C"	"-"	14.18	16.24571429	9.85	18.072	5.59	2.456666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2648576	2648591	"IGF2BP1R168C,IGF2BP1wt"	"-"	20.14	18.74	8.214545455	12.44	0.4533333333	2.958	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2654991	2654999	"IGF2BP1R168C"	"-"	10	3.35	6.88	10.17	0	0.1866666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2656741	2656749	"IGF2BP1R168H"	"-"	7.065	34.26	8.772	9.28	5.296666667	14.088	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2657741	2657749	"IGF2BP1wt"	"-"	10.96	14.23333333	0	6.533333333	9.52	14.88	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2658389	2658397	"IGF2BP1R168C"	"-"	8.156	16.976	4.32	9.17	1.12	5.74	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2659744	2659752	"IGF2BP1R168H"	"-"	14.41666667	22.83142857	12.53142857	21.10833333	6.616666667	7.216666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2659764	2659772	"IGF2BP1wt"	"-"	25.21142857	38.80333333	12.444	32.5275	4.812	6.066666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2660134	2660142	"IGF2BP1R168H"	"-"	12.37	1.832	2.07	3.956666667	6.655	5.566	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2660452	2660460	"IGF2BP1R168C"	"-"	0	7.492	11.7	12.89	7.36	3.455	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2660558	2660566	"IGF2BP1wt"	"-"	8.88	8.25	10.28	3.085	1.75	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2660924	2660932	"IGF2BP1R168C"	"-"	0	0.08	5.32	5.645	0	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2662334	2662342	"IGF2BP1R168C"	"-"	7.44	10.93	15.6	15.49666667	12.225	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2663458	2663470	"IGF2BP1R168C,IGF2BP1wt"	"-"	10.40666667	13.788	5.11	16.55222222	0	1.9225	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2663608	2663616	"IGF2BP1R168H"	"-"	7.72	0.268	4.36	4.945	9.816	6.915	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2666414	2666422	"IGF2BP1wt"	"-"	6.493333333	6.013333333	0.05333333333	8.312	0	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2666866	2666874	"IGF2BP1R168C"	"-"	2.79	14.74	6.576	6.69	0.5	6.55	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2667479	2667487	"IGF2BP1R168C"	"-"	9.52	2.45	7.65	9.81	9	2.14	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2668800	2668811	"IGF2BP1R168C,IGF2BP1wt"	"-"	14.428	31.48	16.22	29.008	18.18	16.1725	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2669136	2669144	"IGF2BP1wt"	"-"	9.68	9.876	1.14	7.625	2.8	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2669156	2669164	"IGF2BP1R168C"	"-"	4.972	8.403333333	8.364	7.634	1.36	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2669516	2669524	"IGF2BP1wt"	"-"	10.75	16.20857143	2.133333333	8.442857143	2.18	0.04666666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2669977	2669985	"IGF2BP1R168C"	"-"	4.286666667	9.186666667	9.6	20.05833333	1	5.9825	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2670137	2670145	"IGF2BP1R168C"	"-"	3.083333333	10.44	8.943333333	4.958	0.8	11.08428571	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2670782	2670790	"IGF2BP1R168C"	"-"	1.975	12	4.52	14.9325	5.3	5.081666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2672194	2672202	"IGF2BP1wt"	"-"	35.52	29.80666667	17.54666667	31.42875	12.93666667	4.484285714	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2673346	2673354	"IGF2BP1wt"	"-"	10.20666667	12.69333333	3.18	17.818	2.045	9.946666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2673846	2673854	"IGF2BP1wt"	"-"	7.415	6.063333333	1.02	9.233333333	0.3333333333	0.3566666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2676632	2676641	"IGF2BP1R168C,IGF2BP1wt"	"-"	25.248	22.39142857	14.52	29.88285714	9.976	3.261666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2677367	2677380	"IGF2BP1R168C,IGF2BP1wt"	"-"	19.71142857	15.232	20.694	14.53375	0.4366666667	7.52	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2678208	2678216	"IGF2BP1R168H"	"-"	18.828	20.36333333	14.97	28.41	15.9	10.938	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2678217	2678225	"IGF2BP1R168C"	"-"	25.1	26.40666667	15.48	34.22333333	14.1	11.58	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2678910	2678918	"IGF2BP1wt"	"-"	12.44666667	7.22	0.36	0	0	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2680236	2680244	"IGF2BP1R168C,IGF2BP1R168H"	"-"	4.14	10.632	7.013333333	15.345	14.816	8.293333333	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2680448	2680456	"IGF2BP1wt"	"-"	27.16666667	8.85	4.476	18.51333333	1.065	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2681030	2681038	"IGF2BP1wt"	"-"	8.94	6	7.635	11.895	0	0.6166666667	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2681190	2681202	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	29.5675	25.242	26.232	30.375	20.2575	9.4375	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2682416	2682432	"IGF2BP1R168C,IGF2BP1wt"	"-"	15.76714286	8.683333333	6.638181818	19.86888889	4.777777778	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2682491	2682499	"IGF2BP1R168C"	"-"	8.94	4.04	5.85	13.094	0.06	1.46	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2682898	2682906	"IGF2BP1R168C"	"-"	5.175	4	8.92	15.876	4.393333333	3.94	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2684079	2684087	"IGF2BP1R168C,IGF2BP1R168H"	"-"	8.225	6.246666667	12.072	15.526	4.135	6.02	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2684992	2685000	"IGF2BP1wt"	"-"	14.30333333	10.01	5.083333333	9.0925	8.5425	16.53	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2687678	2687686	"IGF2BP1wt"	"-"	13.355	7.51	0	10.746	0	5.7	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2690626	2690642	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	26.33333333	39.598	7.83	35.13363636	19.70222222	23.57875	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2690727	2690735	"IGF2BP1R168C"	"-"	4.48	7.84	9.18	13.625	11	3.21	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2691198	2691206	"IGF2BP1R168C"	"-"	8.38	12.20666667	4.83	11.35	3.18	1.46	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2692789	2692797	"IGF2BP1R168H"	"-"	6.68	5.385	0.99	4.896666667	4.36	4.525	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2693601	2693609	"IGF2BP1R168C"	"-"	0.18	5.02	5	8.952	0	2.173333333	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2694854	2694862	"IGF2BP1R168C"	"-"	5.9975	5.672	17.676	16.9325	1.308571429	0.1225	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2694898	2694906	"IGF2BP1wt"	"-"	14.96	10.24333333	2.7	12.942	2.3	0	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2695324	2695332	"IGF2BP1wt"	"-"	8.777142857	8.7675	0.58	8.4175	0	0.745	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2695872	2695880	"IGF2BP1R168H"	"-"	8.8	3.27	7.13	4.8075	14.5	10.19	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2696536	2696544	"IGF2BP1R168H"	"-"	1.87	17.824	5.22	13.72666667	12.464	10.004	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2696816	2696826	"IGF2BP1R168H,IGF2BP1wt"	"-"	12.32	22.456	21.7	17.14285714	17.6	11.68	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2696882	2696890	"IGF2BP1R168C"	"-"	8.683333333	5.745	5.504	26.345	0	5.846	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2696902	2696910	"IGF2BP1R168H"	"-"	6.06	0	2.631428571	15.6025	5.185714286	5.9625	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2697160	2697168	"IGF2BP1R168C"	"-"	2.76	20.49333333	11.19	24.88	2.36	10.41	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2697525	2697533	"IGF2BP1R168C"	"-"	0.6	10.845	15.14	9.686	0.9066666667	8.05	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2697988	2697996	"IGF2BP1wt"	"-"	13.556	14.715	2.405	8.875	14.92333333	11.074	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	2698124	2698140	"IGF2BP1R168C,IGF2BP1wt"	"-"	4.151111111	10.82444444	10.60363636	20.47	0	0.06125	"ENSG00000269821.1"	"KCNQ1OT1"	"lncRNA"	"exon"
"chr11"	3725150	3725158	"IGF2BP1wt"	"-"	14	12.25	13.26	10.71833333	6.5	7.846666667	"ENSG00000110713.17"	"NUP98"	"protein_coding"	"CDS"
"chr11"	3771756	3771766	"IGF2BP1R168C,IGF2BP1wt"	"-"	6.104444444	4.73	15.11142857	10.25166667	1.966666667	1.616	"ENSG00000110713.17"	"NUP98"	"protein_coding"	"CDS"
"chr11"	3776005	3776014	"IGF2BP1R168C,IGF2BP1R168H"	"-"	2.224	9.4275	7.362857143	16.67333333	11.92	8.631428571	"ENSG00000110713.17"	"NUP98"	"protein_coding"	"CDS"
"chr11"	3782045	3782058	"IGF2BP1R168C,IGF2BP1R168H"	"-"	5.636666667	8.2	20.04	9.98	12.2675	12.69	"ENSG00000110713.17"	"NUP98"	"protein_coding"	"CDS"
"chr11"	4109654	4109662	"IGF2BP1wt"	"+"	5.366666667	4.526666667	3.79	0.15	2.405	3.406666667	"ENSG00000167325.15"	"RRM1"	"protein_coding"	"CDS"
"chr11"	4121716	4121724	"IGF2BP1R168C"	"+"	1.1	3.76	4.275	4.671666667	1.09	4.7375	"ENSG00000167325.15"	"RRM1"	"protein_coding"	"CDS"
"chr11"	4127140	4127154	"IGF2BP1R168C,IGF2BP1R168H"	"+"	2.22	3.06	5	4.81	8.555	7.88	"ENSG00000167325.15"	"RRM1"	"protein_coding"	"CDS"
"chr11"	6608947	6608955	"IGF2BP1wt"	"+"	6.884	7.71	2.465	4.314	0	0	"ENSG00000166333.14"	"ILK"	"protein_coding"	"CDS"
